title,text
Pedido Cancelado sem justificativa após uma semana da Compra,"Eu estava pesquisando bastante uma nova TV para comprar e resolvi aguardar a semana do cliente, porque como ocorreu tiveram vários descontos e promoções nessa semana, sendo assim recebi descontos, cashback e cupons de varias plataformas e assim decidi efetuar a compra aquela que eu entendesse ser o melhor custo beneficio. Sendo assim no dia 12 de Setembro de 2022 recebi uma oferta de produto da Amazon que entendi estar com um preço muito bom além de ter cachback e efetuei a compra que já aguardei até a semana do consumidor para efetuar com toda a expectativa. Como estavamos anciosos e mesmo estando dentro do prazo de entrega hoje no dia 19/09 resolvi enviar uma mensagem perguntando quando o pedido seria enviado, ja que após a confirmação da compra e pagamento, passado 7 dias não tive nenhum retorno, já que complei inclusive na Amazon, um site em que confio e tambem sou assinante. Para a minha surpresa após o pedido de informação do pedido, tenho um retorno por email na qual o mesmo estaria sendo cancelado, sendo nenhuma justificativa e após 7 dias da realização do mesmo. Ou seja aguardei chegar em um periodo de compro ansiosamente para aproveitar os descontos de um produto que minha familia aguardava, e além de cancelar a compra do produto sem uma justificativa a empresa me tirou todas as oportunidades e descontos que tive de efetuar a compra na semana do consumidor já que levaram 7 dias para cancelar o mesmo, me sinto extremamente [Editado pelo Reclame Aqui] por uma empresa em que sempre acreditei, aguardo uma satisfação e reparação aos meus transtornos sofridos, já que hoje não consigo mais comprar esse produto pelo mesmo valor ou próximo a ele."
Pedido cancelado ,"Eu sinceramente estou decepcionada com o Amazon entrei em contato com o Procon hoje e eles me informaram que foi marcado uma audiência de conciliação porque o amozan não respondeu a solicitação de esclarecimento do Procon ou seja nem pro Procon o amazon se importou e que fazer somente o que ele quer ,por conta de um produto que me venderam sem ter estoque cancelaram sem da satisfação algunha ou seja total falta de respeito com o consumidor que vai me fazer sair de casa com uma criança recém nascida ,mas não vou desistir do meu direito e vou nessa audiência mesmo assim ."
Cobrança indevida,"Cancelei meu plano antes de terminar o período de teste grátis, pois não gostei da plataforma, e já é a segunda vez que cobram a fatura e não deu nem dois meses que foi assinado contando o mês gratuito. Caso vocês não resolvam meu problema vamos estar entrando com um processo contra a Amazon, tentei contato por onde estávamos conversando e eles não me retornam mais.Engraçado é que quando é pra contratar, pode ser qualquer pessoa e não precisa ficar vindo reclamar em outro local para que eles respondam, agora quando é pra cancelar nenhum dos canais de atendimento funciona."
PEDIDO REINCIDENTE,"OLHA FIZ COMPRA VEIO ERRADA, E VEIO ERRADO NOVAMENTE. FALEI COM A MARIANA, E PENSEI QUE ELA TINHA ENTENDIDO O PROBLEMA. FALEI QUE TINHA ESCOLHIDO O DESODORANTE DE CINCA E VEIO O VERDE ERRADO. E AGORA VEIO O VERDE NOVAMENTE. EU NAO ACREDITO."
Assinatura para vender na amazon Brasil,"Eu me inscrevi na Amazon para realizar vendas no brasil, fiz o cadastro no plano individual que seria cobrado apenas 2 reais por venda realizada, porem para minha surpresa quando eu consegui finalizar eu recebi uma mensagem da Nubank que foi realizado um pagamento a Amazon no valor de 39,99 dolares, 240,00 reais, realizei o encerramento da minha conta no mesmo dia em que abri afim de evitar mais cobranças, porem nao consigo mais contato para saber como faço para receber esse reembolso.Lembrando que nao autorizei e nem tenho interesse no plano Global para vender na Amazon, eu quero apenas vender no BRASIL e pagar o plano de 2 reais por venda.Fico no aguardo de uma soluçao."
Pedido não entregue ,"Meu pedido não chegou, foi cancelado a compra e no site da @amazon não tem o link para solicitar o reembolso.Sobre a devolução do dinheiro, já que não entregaram o meu pedido, como se dará, necessita ser por via judicial?"
Não recebida ,Fiz uma compra no Amazon  de Xarope Kaly de Gengibre 700 Ml o status informa que foi entregue  é isso não aconteceu 
Amazon nao liberou reembolso,"Dia 12 de setembro solicitei a devolução coleta,após alguns dias cancelaram e tive que solicitar novamente,até a presente data não foi me reembolsado e sabe-se lá quando será,atendimento no chat não é bom a central não sabe o que dizer,não resolveram."
Compra canelada sem motivos,"Fiz a compra de uma Smart TV, na loja oficial da Efacil, na Amazon, mas alguns dias depois o pedido foi cancelado. Fui informado pela amazon que o pedido foi cancelado pela Efacil, sem nenhum motivo. O pedido já tinha sido aprovado pelo cartão. Quero o cumprimento da oferta"
Pedido cancelado - Amazon Day,"Fiz uma compra 13/07 de uma Echo Dot. Nesse dia era o amazon day e pude aproveitar as promoções que o site oferecia e uma delas foi essa da Echo Dot. Quando comprei o prazo já era grande, de quase 3 meses - previsão para primeira quinzena de outubro. Porém, hoje recebi um e-mail avisando do cancelamento da compra. Foi minha primeira experiência no Amazon day e não pretendo ter outro!Esperei todo esse tempo e não vou ter meu produto. E como demoraram pra avisar do cancelamento, nem a chance de aproveitar o Amazon Day ou o dia do consumidor eu tive.No fim, só eu fui a prejudicada!Péssima experiência!"
Programe e Poupe da Amazon [Editado pelo Reclame Aqui],"Programei algumas compras no APP da Amazon para que o mesmo item chegue todo mês na mesma data, esse programa oferece, para fidelizar o cliente, 10% de desconto, porém depois de alguns meses percebi que o valor cobrado era o integral (sem os 10% de desconto), ao entrar em contato pelo chat fui informada que o valor do produto, que eram Fraldas Pampers Premium Care M 80 Unidades, item que nós mães compramos todo mês, ""varia"" todos os meses e que o desconto seria aplicado sobre o valor atual. Foi então que percebi que o valor subia EXATOS 10% todo mês. Ao perceber a fralde tentei uma reparação, fui atendida por quatro atendentes e sempre que confrontados e sem argumentos, abandonavam a conversa, o penútimo chegou a ser grosso me dizendo que ""Como você está insastifeita com o progame e poupe, apenas precisa não utilizar o serviço mais, tudo bem?"". Essa é a resposta para a [Editado pelo Reclame Aqui] aplicada pela Amazon.Portanto tomem cuidado, não deixem o programe e poupe automatico no seu cartão de crédito sem verificar as cobranças todo mês por que é apenas uma forma de fidelizar o cliente não oferecendo o que prometem, o desconto."
PROMOÇAO ENGANOSA,APARECEU UMA PROMOÇAO NA AMAZON COM O PARCEIRO E FACIL DA SMART TV AOC ROKI 43 POLEGADA COM UM PREÇO BEM ABAIXO DO VALOR COMO VI QUE ESTAVA NO SITE DA AMAZOM CONFIEI E FIZ A COMPRA ACABEI COMPRANDO ATE 2 SMART PELO PREÇO QUE ESTAVA POIS BEM O PEDIDO FOI APROVADO TUDO CERTINHO SÓ ESPERA CHEGAR PASSOU 7 DIAS E NADA DE ATUALIZA A ENTREGA AI DO NADA CANCELARAO O PEDIDO NO CASO PELO PREÇO QUE FOI VENDIDO. E NO CASO ACHO QUE TEREI QUE PAGAR ATE DUAS PARCELAS PRA DEPOIS TER UM REEMBOLSO ENTAO SÓ TENHO A DIZER QUE JA COLOQUEI NO PROCOM E NÃO COMPRO MAIS NESSE SITE.
Compra de tv cancelada,"No dia 12/09 comprei uma tv de 43 polegadas na Amazon sendo que o vendedor era a efacil, a compra depois de mais de 15 dias foi cancelada, sei nenhum motivo, amazon não informou o real motivo e só disse que provavelmente a efacil não confirmou o pedido, sendo que o mesmo foi cobrado no cartão de crédito e a própria Amazon informa que o pedido só é cobrado após sua confirmação e envio, a amazon não tentou solucionar o problema. Já comprei diretamente com a efacil e através de outras plataformas e não tive problema espero que a mesma possa me auxiliar com o cumprimento da oferta da tv comprada. "
Cancelamento de conta na Amazon / Prime Vídeo não atendida,"Por várias vezes tentei cancelar a minha assinatura do serviço de streaming do Prime Vídeo e não fui atendido, apesar dos e-mails recebidos.E além disso, passei a ser debitado em minha fatura do cartão de crédito no mínimo 2 vezes por mês, sendo que tinha um único serviço contratado.Quero que seja reembolsado pelos últimos débitos a partir de Ago/2022 e que cancele em definitivo qualquer assinatura em meu nome."
Amazon prime enganação pegadinha ,"Me escrevi no Amazon prime onde diz que teria acesso ilimitado a Amazon vídeo Amazon music. Ilimitado . Quando loguei apareceu uma mensagem Amazon music free, achei estranho, tentei escutar músicas e não consegui, liguei no 0800 da Amazon descobri que o Amazon music ilimitado na verdade não era ilimitado me faça o direito a apenas algumas música,se quiser ter acesso a todas teria que pagar mais 16.90 Na inscrição não falava nada disso propaganda enganosa péssima empresa cilada "
Suspensão da conta,"Realizei uma compra no dia 20/09 e foi com o cartão do meu cunhado, a amazon depois de algumas horas bloqueou minha conta e desativou meu login, pediu que eu colocasse as informações necessarias para comprovar a titularidade do cartão, coloquei todas as informações aguardei 24 horas e toda vez que entro aparece a mesma tela e eu preencho as mesmas informações, em um ciclo vicioso que nada resolve. Vale destacar que aguardei muito para comprar o celular e peguei uma promoção muito boa, com o valor ótimo e na esperança que a amazon resolvesse meu problema fiquei aguardando, perdi um cashback e valor ótimo, espero que eu consiga resolver esse problema. Pois, o valor do celular esta absurdamente mais caro agora. obrigada!"
Não consigo devolver pedido,"Comprei uma Estante Multiuso na Amazon, e solicitei a devolução, a empresa que iria fazer o recolhimento do produto passou no prédio 2 vezes, eu trabalho fora todos os dias em horário comercial, e nos 2 dias que a transportadora passou eu não estava em casa, como não fui avisada o dia em que a transportadora ia passar não pude deixar o produto com o porteiro no hall do prédio para a transportadora levar embora. Entrei em contato inúmeras vezes com o suporte da Amazon, só pedi para que por favor me avisassem com antecedência o dia que a transportadora iria passar no meu prédio, para que eu pudesse deixar o produto no hall, mas me informaram que não seria possível me avisarem. Eu não posso faltar no meu trabalho dias e dias para esperar que TALVEZ a transportadora passe no meu prédio, e segundo as regras do meu prédio nenhuma embalagem de morador pode ficar no hall do prédio mais de 24hrs, caso isso aconteça o morador recebe multa. A estante que comprei nunca foi montada, ainda está na caixa e eu nunca recebi o valor de volta, só queria devolver o produto, já que eu solicitei a devolução dentro do prazo estipulado pela Amazon, não é minha culpa que a transportadora não tenha me avisado com antecedência quando ia passar no meu prédio, não sou adivinha e não posso parar minha vida profissional para esperar que um dia a transportadora passe no prédio."
Pior empresa. ,"Lamentável ter que vir aqui falar sobre a falta de compromisso da empresa, mais vamos lá, no dia 13 de setembro de 2022, efetuei duas compras, 1 foi um tênis e outra um secador. Pois bem, o tênis em questão ao ser entregue, verifiquei que era outro produto, que no caso seria 3 vezes mais caro no que paguei, mais como não era o produto que comprei pedi a troca. A empresa em questão me deu a opção de retirar o produto em minha residência para efetuar a troca. E com isso pedi novamente a entrega do meu produto. Que no caso não tem data nenhuma para a reentrega do produto certo e ao rastrear o produto devolvido diz que já foi entregue a empresa. Enfim não consigo informações e nenhuma comunicação com a empresa em questão, não recomendo compras nesse site, pois entregam produto errado e depois não dão a mínima para resolver. "
COMORA CANCELADA E NÃO FUI REEMBOLSADA (HÁ QUASE 4 MESES) PROBLEMA NÃO RESOLVIDO. ,"Realizei uma compra pela Amazon no dia 1 de Junho de 2022; e só no dia 3 de junho fui cientizada do cancelamento da compra. No entanto este valor que foi parcelado em 4x foi cobrado a vista no cartão, e no e-mail recebido informava que o valor seria estornado em até 2 faturas o que não ocorreu até hoje Venho aqui a fim de resolver esta questão, nunca tive problemas com compras pela internet, porém esta experiência foi a pior. Aguardo retorno, pois não tenho o produto e fui cobrada pela Amazon no cartão de crédito. Um absurdo!!!!"
Não recebi reembolso,"No dia 25/09/2022, efetuei uma compra na Amazon, com pagamento por pix.No dia 26/09, fiz cancelamento da compra.No entanto para reembolso de pix eles falam em 1dia. Já liguei lá duas vezes e eles ainda não fizeram meu reembolso. Sendo que já passou 4dias."
